month,mean_ltv,p10_ltv,p90_ltv,mean_cum_contacts
1,154.4843317965114,91.92665639474885,227.86615605695206,0.35575
2,153.27612000208606,90.84833477160149,225.72273539495535,0.7555
3,151.83635958865167,89.43739994670788,224.33164104248843,1.198
4,150.9943758203877,88.72949121504551,222.06418364191865,1.53775
5,149.85955174825432,88.32784425977493,220.8539463540086,1.93275
6,148.36388518581154,87.85547369372134,219.79209278015512,2.381
7,147.51403821727436,87.22722667274273,218.3574753272267,2.72025
8,146.25263416977774,86.09218706897131,216.6023649086554,3.12775
9,144.85519365655804,85.12233102929234,215.6581441635703,3.57675
10,143.99706234722638,84.60384782823132,214.2869162969439,3.91975
11,142.9095972860428,83.4922725731741,212.0075680353036,4.3075
12,141.42004042969887,82.70309687167209,209.58807833459204,4.7545
13,140.52259370282326,82.20248681481264,208.63982128350756,5.10375
14,139.35559496422638,81.46695969570062,207.46309282509657,5.5025
15,137.94088541636825,79.83097546751348,205.1592288545044,5.9505
16,137.0088498636611,79.38959171870492,203.9568702278154,6.306
17,135.92847635003767,79.02976201742175,201.94046107859108,6.69225
18,134.4245513917732,77.6755882677196,200.0642217602985,7.15125
19,133.6228158282728,77.02273954578148,198.97633917584236,7.48675
20,132.5033594217606,76.2744413322748,197.8318233907832,7.8835
21,131.12231301056994,75.66568245950538,196.08027686396233,8.32675
22,130.3108443997287,74.66164213812881,194.6715772794443,8.66275
23,129.21972229308824,74.14151020404532,193.611458817402,9.052
24,127.87720338647226,73.49875975388045,190.7166705334782,9.494
