customer_id,impressions,score_audit,p_discount_propensity,synthetic_assigned_offer,observed_offer
0,3,0.6970679669930135,0.5367008653706069,No Offer,Buy One Get One
1,5,1.3116010945759211,0.6817012477705361,Buy One Get One,No Offer
2,5,0.9183182034818489,0.5910525346803097,No Offer,Buy One Get One
3,4,2.3859931255234135,0.8624741319137733,Buy One Get One,Discount
4,3,0.1873764037966622,0.4103246159754508,Discount,Buy One Get One
5,3,0.5587423288612844,0.5021855682953972,No Offer,Buy One Get One
6,0,1.259982760119646,0.670397350414328,No Offer,Buy One Get One
7,2,0.394616879817109,0.4612321891427278,No Offer,Buy One Get One
8,0,2.3838300744966796,0.862217365798505,Discount,Discount
9,2,0.5851332399797615,0.5087824066372093,Buy One Get One,Buy One Get One
10,1,1.9664302707254635,0.8047781854347935,Buy One Get One,Buy One Get One
11,3,0.8309786924600255,0.5697861470852982,No Offer,Buy One Get One
12,5,2.17560373476417,0.8355665041206308,Buy One Get One,Buy One Get One
13,2,0.34761294696131634,0.44957523805625216,No Offer,Discount
14,4,1.0037769020274265,0.6115368500898685,Buy One Get One,No Offer
15,4,0.45294494234744836,0.47575526407937924,Buy One Get One,No Offer
16,4,0.23118846529617482,0.4209654132250165,No Offer,Discount
17,2,0.5822615563863034,0.5080646896259056,Discount,Discount
18,2,0.9442474081963143,0.5973047568415986,No Offer,Discount
19,3,2.7036158748690835,0.8960061836242329,Buy One Get One,Discount
20,5,0.5478551319628415,0.49946378319628054,No Offer,No Offer
21,2,0.8397378901677868,0.5719319628943029,Buy One Get One,Discount
22,3,0.39531391434035007,0.4614054048439785,No Offer,Discount
23,5,0.3436884652961748,0.448604289637423,No Offer,No Offer
24,7,0.33934707762941146,0.44753065182463775,No Offer,No Offer
25,2,0.7730867725122588,0.5555415360540646,Discount,Discount
26,2,0.6784137604932403,0.5320593970209044,Buy One Get One,Discount
27,3,0.6388606004436113,0.5222005436936137,Discount,Discount
28,5,1.6443064349283845,0.7491917836571801,Discount,No Offer
29,5,0.6370917889733406,0.5217591953937416,No Offer,No Offer
30,5,0.7343721627809404,0.5459629125993452,No Offer,Buy One Get One
31,2,1.2137870725995379,0.6601105879816168,No Offer,Discount
32,5,0.5393317920161166,0.497332973298654,Buy One Get One,Discount
33,1,0.5478551319628415,0.49946378319628054,Buy One Get One,Discount
34,3,0.17285513196284147,0.40681570432471864,Buy One Get One,Buy One Get One
35,3,0.7391699832026016,0.5471519673870938,Discount,Buy One Get One
36,3,1.6935522117657396,0.758331232249758,Discount,Discount
37,8,2.4981320883258573,0.8752428221817614,Buy One Get One,Discount
38,2,0.673220646923741,0.5307662437478697,Discount,Buy One Get One
39,3,1.8853727796183701,0.7917279668328262,Buy One Get One,Discount
40,0,1.1952783357086099,0.6559456590015683,Buy One Get One,Discount
41,4,0.3699204649774178,0.45510138413386714,No Offer,Discount
42,5,0.8436207350507827,0.5728823168422899,No Offer,Buy One Get One
43,2,1.458681183561985,0.7127302163261751,Discount,No Offer
44,3,0.16669117405061135,0.4053290970127468,No Offer,No Offer
45,4,0.3770217986295082,0.45686295632680596,No Offer,No Offer
46,6,1.1721053837174198,0.6506972336609521,Buy One Get One,No Offer
47,3,2.305980264308729,0.8527055015685903,Discount,Discount
48,0,0.6705592601159998,0.5301033623268538,No Offer,Buy One Get One
49,6,0.46553612353929047,0.47889657563658994,Discount,Buy One Get One
50,3,0.6661161496514064,0.5289964648831949,Discount,No Offer
51,1,0.7902559893254316,0.5597767328476729,Discount,Discount
52,4,0.4895217986295082,0.4848850564275299,No Offer,Discount
53,3,0.48626193647611193,0.48407087648003383,No Offer,Discount
54,3,0.7770887329891294,0.5565294597672744,No Offer,No Offer
55,8,0.2964154694743187,0.43694142151747134,No Offer,No Offer
56,5,0.5466099538510534,0.49915248927442507,Buy One Get One,Buy One Get One
57,5,1.850845129572164,0.7859771826063573,Buy One Get One,No Offer
58,1,1.904998884052249,0.7949456830033509,Discount,Discount
59,3,0.49714201878665476,0.48678858057502117,Discount,Buy One Get One
60,1,0.6201088883576273,0.5175200463841365,No Offer,Discount
61,2,0.33415080043966777,0.44624624112574596,Buy One Get One,Buy One Get One
62,2,0.4890440192647902,0.4847657216046093,Buy One Get One,Discount
63,3,1.5082629634172644,0.7227738867058441,No Offer,No Offer
64,4,0.6377355943631927,0.5219198396674768,No Offer,Buy One Get One
65,3,0.7778711511055311,0.5567225554664196,Buy One Get One,Buy One Get One
66,3,0.968901656612053,0.6032203960891702,Buy One Get One,No Offer
67,4,0.6739830382656609,0.5309561154700514,Buy One Get One,No Offer
68,2,0.701229362856686,0.53773544962794,Discount,Discount
69,1,3.364653809333246,0.9434625707166151,Buy One Get One,Buy One Get One
70,2,0.8518315257721532,0.5748901873476779,Discount,Discount
71,4,0.38023791397188933,0.4576611106433201,Buy One Get One,Buy One Get One
72,1,1.2785787243886404,0.6744933059780124,No Offer,Discount
73,7,2.1467888806782898,0.8315691083104465,Discount,Buy One Get One
74,4,1.1700047921330838,0.650219638468896,Discount,No Offer
75,4,2.05233407022642,0.8179223364805199,Discount,Discount
76,1,0.6691269756132209,0.5297465738326641,Buy One Get One,No Offer
77,4,0.6446353262045286,0.5236411902812578,No Offer,No Offer
78,3,1.073403269859149,0.6279432196555317,Buy One Get One,Discount
79,1,0.14368846529617482,0.3997968748222239,No Offer,Discount
80,3,1.179222002982805,0.6523130328091181,No Offer,Discount
81,3,0.3296539311998782,0.4451352877850344,Buy One Get One,No Offer
82,5,1.7525564918513068,0.7689792569518191,No Offer,Discount
83,4,2.561043457280521,0.8819517028556222,Discount,Discount
84,5,0.45805161873241235,0.47702908637809416,Discount,Buy One Get One
85,2,0.9686162544413199,0.6031520843377387,Discount,Buy One Get One
86,3,0.29339436530435964,0.43619830068081766,No Offer,Buy One Get One
87,7,0.6468012746075437,0.5241814389457546,Buy One Get One,Buy One Get One
88,2,0.5766942300348223,0.5066731612489087,Discount,No Offer
89,1,0.5831530781323988,0.5082875104617457,Buy One Get One,No Offer
90,2,1.70211718849461,0.7598974175734409,Discount,Discount
91,4,0.5745311790080883,0.5061324872217352,No Offer,Discount
92,3,4.265151609780206,0.9762271613255252,Buy One Get One,Discount
93,4,2.4514963072555203,0.8700607843686747,Discount,Discount
94,6,5.905370434394595,0.9952994795251032,Discount,No Offer
95,2,0.4674854507622196,0.4793830591592907,No Offer,Discount
96,3,0.32304302854736344,0.4435030598045135,Buy One Get One,Discount
97,5,0.16418658865123487,0.4047255416349351,Discount,Buy One Get One
